//Sonymon id's are what the game can use to recognize what the type is and how
//much attack/defense/health/xp/etc to give to that sonymon...THEY ARE IMPORTANT!!!

//below is a table of all the sonymon's names and what id they have...

//name of sonymon           id they have
unknown/???                 1
Blumdins                    2
Arsande                      3
Myboross                    4
Argrasse                    5
Norbonkge                   6
Blowess                     7
Cemes                       8
Waterserore                 9
Vandel                      10
Lieosaur                    11
Sturk                       12
blip                        13
cecei                       14
fanz                        15
      
